Size,Algorithm,AvgTime(ms),Trial1,Trial2,Trial3,Trial4,Trial5
1000,insertion,0.40,2,0,0,0,0
1000,selection,1.40,2,2,1,1,1
1000,heapsort,0.00,0,0,0,0,0
1000,java,1.00,5,0,0,0,0
5000,insertion,3.80,10,6,1,1,1
5000,selection,7.80,8,8,8,8,7
5000,heapsort,0.00,0,0,0,0,0
5000,java,0.20,1,0,0,0,0
10000,insertion,6.00,6,6,6,6,6
10000,selection,31.40,30,31,36,29,31
10000,heapsort,1.20,2,1,1,1,1
10000,java,1.20,2,1,1,1,1
25000,insertion,45.20,53,45,45,43,40
25000,selection,174.80,183,199,181,170,141
25000,heapsort,2.40,2,3,2,3,2
25000,java,2.20,3,2,2,2,2
50000,insertion,124.60,149,123,112,110,129
50000,selection,470.00,565,500,436,425,424
50000,heapsort,4.00,4,4,4,4,4
50000,java,2.80,3,3,3,3,2
75000,insertion,235.60,236,252,243,230,217
75000,selection,970.40,957,933,949,950,1063
75000,heapsort,6.00,6,6,6,6,6
75000,java,3.00,3,3,3,3,3
100000,insertion,436.40,460,394,456,432,440
100000,selection,1729.00,1771,1771,1660,1738,1705
100000,heapsort,9.80,10,10,10,10,9
100000,java,5.00,5,5,5,5,5
150000,insertion,2020.60,961,931,1888,2875,3448
150000,selection,5451.40,10799,4174,4083,4117,4084
150000,heapsort,14.40,14,15,14,14,15
150000,java,8.00,8,8,8,8,8
200000,heapsort,20.40,20,20,20,20,22
200000,java,11.20,12,11,11,11,11
250000,heapsort,25.20,26,25,25,25,25
250000,java,15.20,16,15,15,15,15
500000,heapsort,59.00,59,61,62,57,56
500000,java,31.60,31,32,32,32,31
750000,heapsort,87.80,91,89,88,85,86
750000,java,51.80,45,45,52,58,59
1000000,heapsort,131.00,157,130,119,125,124
1000000,java,60.00,62,59,59,60,60
10000000,heapsort,2082.00,2215,2136,2005,2043,2011
10000000,java,752.00,727,732,772,729,800
